t,S,E,I,R,D
8.324719248758738,850,48,41,61,0
8.345178244703657,850,48,40,62,0
8.358377927641099,849,49,40,62,0
8.378502465636723,848,50,40,62,0
8.397632401116667,848,50,39,63,0
8.403155704186576,848,49,40,63,0
8.42793529960771,848,48,41,63,0
8.433280030342692,848,48,40,64,0
8.441665600240384,848,47,41,64,0
8.449613496854935,848,46,42,64,0
8.450946105566025,848,45,43,64,0
8.473173360261516,847,46,43,64,0
8.477550108405762,847,45,44,64,0
8.494881746351489,847,44,45,64,0
8.502279705145522,847,43,46,64,0
8.509205739931577,847,43,45,65,0
8.524524427165844,846,44,45,65,0
8.537356258669847,845,45,45,65,0
8.545980238361016,844,46,45,65,0
8.54664366101941,844,46,44,66,0
8.5873222769963,844,46,43,67,0
8.595931989661839,844,46,42,68,0
8.603334688102391,844,46,41,69,0
8.61043769252955,844,45,42,69,0
8.65610914951966,844,44,43,69,0
8.66997894018396,843,45,43,69,0
8.67457054660731,842,46,43,69,0
8.682322207767534,842,45,44,69,0
8.70007330218973,841,46,44,69,0
8.703175138629524,841,45,45,69,0
8.707707053582535,840,46,45,69,0
8.723258236576031,839,47,45,69,0
8.726622652943279,838,48,45,69,0
8.744339175051554,837,49,45,69,0
8.774378403744404,836,50,45,69,0
8.794998652882816,835,51,45,69,0
8.801085107175446,835,51,44,70,0
8.809197365570494,835,50,45,70,0
8.844594809363898,835,49,46,70,0
8.845289361287339,834,50,46,70,0
8.863010040528161,834,49,47,70,0
8.867928035119494,834,48,48,70,0
8.874905432958743,833,49,48,70,0
8.88349297249093,833,48,49,70,0
8.88485483249201,832,49,49,70,0
8.885802773815467,832,48,50,70,0
8.897303960659267,831,49,50,70,0
8.918188951269064,831,49,49,71,0
8.951867905804724,831,48,50,71,0
8.952455435273977,830,49,50,71,0
8.959202175890898,830,48,51,71,0
8.970141080785499,830,48,50,72,0
9.06104301225355,830,48,49,73,0
9.069612900033642,829,49,49,73,0
9.076074433965294,828,50,49,73,0
9.076607294826669,827,51,49,73,0
9.111757539323962,827,50,50,73,0
9.13166354517049,826,51,50,73,0
9.138499704315073,826,50,51,73,0
9.174201027933979,826,49,52,73,0
9.19674685701944,826,49,51,74,0
9.209533460101891,826,49,50,75,0
9.223622211542855,825,50,50,75,0
9.234224093391788,825,50,49,76,0
9.241756709013814,824,51,49,76,0
9.267915514183564,824,50,50,76,0
9.27037477967085,823,51,50,76,0
9.291494784904897,822,52,50,76,0
9.306793458438964,822,51,51,76,0
9.323811850838974,822,51,50,77,0
9.402256358058214,822,51,49,78,0
9.456735282538034,822,50,50,78,0
9.473269071472357,821,51,50,78,0
9.482013812933673,821,51,49,79,0
9.486519293232204,820,52,49,79,0
9.511863611122848,820,51,50,79,0
9.517082485877067,819,52,50,79,0
9.52150707497947,819,51,51,79,0
9.531495863751543,819,50,52,79,0
9.540188397254491,818,51,52,79,0
9.541096467221681,817,52,52,79,0
9.572622879494409,816,53,52,79,0
9.609281317314709,815,54,52,79,0
9.618589526675448,815,53,53,79,0
9.629952813747238,814,54,53,79,0
9.652690538508105,813,55,53,79,0
9.668544016390154,812,56,53,79,0
9.683651598527492,811,57,53,79,0
9.69046498393252,810,58,53,79,0
9.720532783829329,809,59,53,79,0
9.752127794691932,808,60,53,79,0
9.757101760765229,808,59,54,79,0
9.788935369477969,808,58,55,79,0
9.797243765435766,808,57,56,79,0
9.803718453348308,807,58,56,79,0
9.803831173423783,807,58,55,80,0
9.818625338519489,806,59,55,80,0
9.858172216798083,806,59,54,81,0
9.911706410090634,806,58,55,81,0
9.95002255055128,806,58,54,82,0
9.956614671924147,806,58,53,83,0
9.985964664015995,806,57,54,83,0
9.989752926399484,806,56,55,83,0
10.039972162644158,805,57,55,83,0
10.045196529515579,804,58,55,83,0
10.046348850049473,804,57,56,83,0
10.067952863196043,804,56,57,83,0
10.155699173450891,803,57,57,83,0
10.17712965459739,803,56,58,83,0
10.178393583643912,803,55,59,83,0
10.1908308952583,802,56,59,83,0
10.21488940426923,801,57,59,83,0
10.222844308907606,800,58,59,83,0
10.238684934616423,800,57,60,83,0
10.271222347887171,799,58,60,83,0
10.273138637191257,798,59,60,83,0
10.30139250074188,797,60,60,83,0
10.302665748729968,797,60,59,84,0
10.31081901047763,797,59,60,84,0
10.31958495957182,796,60,60,84,0
10.355097474741136,796,59,61,84,0
10.35845365591607,795,60,61,84,0
10.375292028719008,795,59,62,84,0
10.378502247363203,794,60,62,84,0
10.38233585571344,793,61,62,84,0
10.419336560083844,792,62,62,84,0
10.44112344290277,791,63,62,84,0
10.444256344917056,791,63,61,85,0
10.453053221582103,791,62,62,85,0
10.460131222727028,791,62,61,86,0
10.48884859914944,790,63,61,86,0
10.504441073946982,789,64,61,86,0
10.513537715847175,789,63,62,86,0
10.528768556481143,788,64,62,86,0
10.541947202326378,787,65,62,86,0
10.551526593313387,787,65,61,87,0
10.555793357963957,787,64,62,87,0
10.566534585086595,787,63,63,87,0
10.569523936372343,786,64,63,87,0
10.570398150638715,786,63,64,87,0
10.578740754301295,785,64,64,87,0
10.592359998137113,784,65,64,87,0
10.6328321443349,784,64,65,87,0
10.640260654162617,784,63,66,87,0
10.651524314618971,783,64,66,87,0
10.652525926978475,783,64,65,88,0
10.667611273749312,782,65,65,88,0
10.684619633339446,781,66,65,88,0
10.68779151845484,781,65,66,88,0
10.730622892455015,781,64,67,88,0
10.739892849684392,781,63,68,88,0
10.741485992837704,780,64,68,88,0
10.747419594532122,780,63,69,88,0
10.748924193662102,779,64,69,88,0
10.75816241513677,778,65,69,88,0
10.767116000876875,778,64,70,88,0
10.768590678945078,778,63,71,88,0
10.770054172764327,777,64,71,88,0
10.795757588039875,776,65,71,88,0
10.802877525923826,775,66,71,88,0
10.810724250042036,775,65,72,88,0
10.811021483108835,775,64,73,88,0
10.821008027144455,774,65,73,88,0
10.835454709931945,774,64,74,88,0
10.836095595036245,774,63,75,88,0
10.836329742446823,774,62,76,88,0
10.875284965873004,773,63,76,88,0
10.884740450910332,773,62,77,88,0
10.888246522738307,772,63,77,88,0
10.890707845280472,772,62,78,88,0
10.897321236977598,772,62,77,89,0
10.908688743351327,772,61,78,89,0
10.918732113802625,771,62,78,89,0
10.919090840280688,771,62,77,90,0
10.927033030688015,770,63,77,90,0
10.976063086433399,769,64,77,90,0
10.986691574847782,769,63,78,90,0
10.991970338190788,769,63,77,91,0
11.069052169595972,768,64,77,91,0
11.06983323941142,768,64,76,92,0
11.073743764354532,767,65,76,92,0
11.097372562737421,767,64,77,92,0
11.102432686045208,766,65,77,92,0
11.126643453618481,765,66,77,92,0
11.128613336644367,764,67,77,92,0
11.12981617169864,764,67,76,93,0
11.152684872094314,763,68,76,93,0
11.159099540691908,763,67,77,93,0
11.175992848578016,762,68,77,93,0
11.176090266241568,761,69,77,93,0
11.17687351483633,761,69,76,94,0
11.184992767512275,760,70,76,94,0
11.196942215146832,759,71,76,94,0
11.19775114136952,759,71,75,95,0
11.210152668920324,758,72,75,95,0
11.210765856776673,757,73,75,95,0
11.222888343495114,756,74,75,95,0
11.232467682479733,756,74,74,96,0
11.235366935506617,755,75,74,96,0
11.236962144119486,755,74,75,96,0
11.253390755802476,755,74,74,97,0
11.264457439916237,754,75,74,97,0
11.265988682416749,753,76,74,97,0
11.287109892511896,753,75,75,97,0
11.290080936047941,753,75,74,98,0
11.296986421425109,753,74,75,98,0
11.317899368677587,752,75,75,98,0
11.3244594993052,751,76,75,98,0
11.334537925371492,751,75,76,98,0
11.338379177274422,750,76,76,98,0
11.343587462089808,750,76,75,99,0
11.351346552335743,749,77,75,99,0
11.362139099188964,749,77,74,100,0
11.364581697822329,749,76,75,100,0
11.3922684711177,749,75,76,100,0
11.403510790268179,749,74,77,100,0
11.414211510548231,749,74,76,101,0
11.439094229642894,749,73,77,101,0
11.447669924615681,748,74,77,101,0
11.448304760690808,747,75,77,101,0
11.449222227505624,747,74,78,101,0
11.452141572193149,747,73,79,101,0
11.455152184389892,747,72,80,101,0
11.46206335737684,747,71,81,101,0
11.464469392757826,747,71,80,102,0
11.506829205636672,746,72,80,102,0
11.511380720346832,745,73,80,102,0
11.51555197047059,745,73,79,103,0
11.531372345068876,744,74,79,103,0
11.546146621025509,743,75,79,103,0
11.564070107223845,743,75,78,104,0
11.5688480037521,743,74,79,104,0
11.57108397760934,742,75,79,104,0
11.597373629749683,741,76,79,104,0
11.611733526078146,740,77,79,104,0
11.642794830332155,739,78,79,104,0
11.675711721491151,739,78,78,105,0
11.69887232759919,739,77,79,105,0
11.70499348819931,738,78,79,105,0
11.719369995785506,738,78,78,106,0
11.739680639970153,737,79,78,106,0
11.743578064923797,736,80,78,106,0
11.746206220249265,736,79,79,106,0
11.767558280558998,736,79,78,107,0
11.779117053824365,736,79,77,108,0
11.79771550137788,735,80,77,108,0
11.805347884605666,734,81,77,108,0
11.806489446265356,734,80,78,108,0
11.82002308230565,734,80,77,109,0
11.837838366636515,733,81,77,109,0
11.842915904776946,733,80,78,109,0
11.851115708630171,733,80,77,110,0
11.869660105024996,732,81,77,110,0
11.889466708708714,732,80,78,110,0
11.906002190109971,731,81,78,110,0
11.91726243897025,730,82,78,110,0
11.930810812745111,730,82,77,111,0
11.931683495157928,729,83,77,111,0
11.933222836827845,729,82,78,111,0
11.943818178775427,729,81,79,111,0
12.00608754346212,728,82,79,111,0
12.020213512383926,728,81,80,111,0
12.022990476551893,728,80,81,111,0
12.050028451570093,728,79,82,111,0
12.063828699832852,727,80,82,111,0
12.068267443349717,726,81,82,111,0
12.069647180370321,725,82,82,111,0
12.079824060912525,725,81,83,111,0
12.081739899394066,725,80,84,111,0
12.082183117349393,724,81,84,111,0
12.086986187558203,724,81,83,112,0
12.107055100931047,724,81,82,113,0
12.107857523759938,723,82,82,113,0
12.122349867862805,723,82,81,114,0
12.122547560256871,723,82,80,115,0
12.12946681679514,722,83,80,115,0
12.137964571515605,722,83,79,116,0
12.15485686599619,721,84,79,116,0
12.155516492608006,721,84,78,117,0
12.168036826325034,720,85,78,117,0
12.169549985051107,720,85,77,118,0
12.170019867670362,719,86,77,118,0
